page,alt_text,site_asset_path,production_url_after_deployment,requested_github_assets_directory,raw_github_file_url_if_using_existing_repo,status
404.html,Robotics research visual from original Google Site,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
blog.html,Robotics research visual from original Google Site,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
blog.html,Open-loop mechanism,/assets/img/open-loop-mechanism.svg,https://airlabhassen.github.io/assets/img/open-loop-mechanism.svg,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/open-loop-mechanism.svg,local repository asset
blog.html,Closed-loop mechanism,/assets/img/closed-loop-mechanism.svg,https://airlabhassen.github.io/assets/img/closed-loop-mechanism.svg,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/closed-loop-mechanism.svg,local repository asset
blog.html,Hybrid mechanism,/assets/img/hybrid-mechanism.svg,https://airlabhassen.github.io/assets/img/hybrid-mechanism.svg,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/hybrid-mechanism.svg,local repository asset
blog.html,Figure 1: Five-bar manipulator,/assets/img/five-bar-manipulator.svg,https://airlabhassen.github.io/assets/img/five-bar-manipulator.svg,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/five-bar-manipulator.svg,local repository asset
contact.html,Robotics research visual from original Google Site,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
cutting-edge.html,Robotics research visual from original Google Site,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
index.html,Robotics and AI lab research visual,/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
index.html,"Composite robotics research visual showing robotic mechanisms, soft robotics, quantum optimization, Lie-group kinematics, and intelligent manipulation",/assets/img/futuristic-robotics-ai-lab-scene.png,https://airlabhassen.github.io/assets/img/futuristic-robotics-ai-lab-scene.png,https://github.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/tree/main/assets/img,https://raw.githubusercontent.com/InteractiveRoboticsHassen/AIRLabHassen.github.io/main/assets/img/futuristic-robotics-ai-lab-scene.png,local repository asset
